labels	source	f	m	kw_s	kw_f	kw_m	data_split
SCMP;SUBJ;DROP;SCMP;AATR;PPA	People might think I'm committed to it.	La gente podría pensar que estoy comprometida a ello.	La gente podría pensar que estoy comprometido a ello.	I=committed	(yo)=comprometida	(yo)=comprometido	test
IOBJ;PROF	The main action of this powerful superfood is to strengthen endurance and energy levels, which gives the athlete a natural advantage.	La acción principal de este alimento de gran alcance es el fortalecimiento de la resistencia y los niveles de energía, lo que le da a la atleta una ventaja natural.	La acción principal de este alimento de gran alcance es el fortalecimiento de la resistencia y los niveles de energía, lo que le da al atleta una ventaja natural.	athlete	a la [atleta]	al [atleta]	test
SCMP;SUBJ;PROF	If this winner does not accept the prize or the rules (terms and conditions), it will be understood as they renounce to the prize.	Si esta ganadora no acepta el premio o las condiciones contenidas en el reglamento (términos y condiciones), se considera que renuncia al premio.	Si este ganador no acepta el premio o las condiciones contenidas en el reglamento (términos y condiciones), se considera que renuncia al premio.	this [winner]	esta [ganadora]	este [ganador]	test
SUBJ;OTH;OPRP;OTH	The suspect matches the description of a federal fugitive.	La sospechosa coincide con la descripción de una fugitiva federal.	El sospechoso coincide con la descripción de un fugitivo federal.	suspect=federal [fugitive]	la [sospechosa]=una [fugitiva] federal	el [sospechoso]=un [fugitivo] federal	test
SUBJ;OTH;PLUR	Some listeners find the interface can be a bit confusing at times.	Algunas oyentes encuentran que la interfaz puede ser un poco confusa a veces.	Algunos oyentes encuentran que la interfaz puede ser un poco confusa a veces.	some [listeners]	algunas [oyentes]	algunos [oyentes]	test
SCMP;SUBJ;DROP;SCMP;AATR	If you are slower than your opponent would like, make him wait.	Si eres más lenta de lo que a tu oponente le gustaría, hazle esperar.	Si eres más lento de lo que a tu oponente le gustaría, hazle esperar.	you=slower	(tú)=más lenta	(tú)=más lento	test
IMPR;DOBJ;PLUR	Reassure them now before they start to throw a tantrum.	Tranquilízalas ahora antes de que empiece a hacer un berrinche.	Tranquilízalos ahora antes de que empiece a hacer un berrinche.	them	tranquilízalas	tranquilízalos	test
QUES;OPRP;PROF	Where is the professor's jacket?	¿Dónde está la chaqueta de la profesora?	¿Dónde está la chaqueta del profesor?	professor's	de la [profesora]	del [profesor]	test
SUBJ;FAM	An old friend came to visit me yesterday.	Una vieja amiga vino a visitarme ayer.	Un viejo amigo vino a visitarme ayer.	old [friend]	una vieja [amiga]	un viejo [amigo]	test
SUBJ;PROF	The plumber said we have to replace all of our pipes.	La plomera dice que hay que cambiar toda la tubería.	El plomero dice que hay que cambiar toda la tubería.	plumber	la [plomera]	el [plomero]	test
SUBJ;NAT;PROF;SCMP;OPRP;PPA;PPA;DFCL	While in New Zealand in the year 1985, the French singer showed that the fame of being a freedom fighter engaged in struggles was not only an excuse to show off.	Durante su estancia en Nueva Zelanda en el año 1985, la cantante francesa demostró que su fama de luchadora por la libertad y comprometida con las luchas no era solo una excusa para lucirse.	Durante su estancia en Nueva Zelanda en el año 1985, el cantante francés demostró que su fama de luchador por la libertad y comprometido con las luchas no era solo una excusa para lucirse.	french [singer]=fighter=engaged	la [cantante] francesa=luchadora=comprometida	el [cantante] francés=luchador=comprometido	test
SUBJ;PROF	The director of the theater has died.	La directora del teatro ha muerto.	El director del teatro ha muerto.	director	la [directora]	el [director]	test
SUBJ;PROF;RSCMP;PROF	The owner is the boss of a pizzeria where my Italian wife and I sometimes go.	La dueña es la jefa de una pizzería a la que mi mujer italiana y yo vamos a veces.	El dueño es el jefe de una pizzería a la que mi mujer italiana y yo vamos a veces.	owner=boss	la [dueña]=la [jefa]	el [dueño]=el [jefe]	test
SUBJ;PROF;PLUR	Inspectors should have unrestricted access to all persons employed by or working in any facility where juveniles are or may be deprived of their liberty, to all juveniles and to all records of such facilities.	Las inspectoras deberán tener acceso sin restricciones a todas las personas empleadas o que trabajen en los establecimientos o instalaciones donde haya o pueda haber menores privados de libertad, a todos los menores y a toda la documentación de los establecimientos.	Los inspectores deberán tener acceso sin restricciones a todas las personas empleadas o que trabajen en los establecimientos o instalaciones donde haya o pueda haber menores privados de libertad, a todos los menores y a toda la documentación de los establecimientos.	inspectors	las [inspectoras]	los [inspectores]	test
QUES;SUBJ;OTH	Can a vegetarian get a good meal at this restaurant?	¿Puede una vegetariana conseguir una buena comida en este restaurante?	¿Puede un vegetariano conseguir una buena comida en este restaurante?	vegetarian	una [vegetariana]	un [vegetariano]	test
SUBJ;NAT;PROF;PLUR	The French members of my group reassert their total opposition to the stability pact, which imposes a restrictive framework on budgetary policy and demands austerity criteria, backed by penalties, to satisfy the demands of the financial markets.	Las diputadas francesas de mi Grupo vuelven a afirmar su total oposición al pacto de estabilidad, que enmarca de manera apremiante las políticas presupuestarias, imponiendo criterios de austeridad emparejados con sanciones para satisfacer las exigencias de los mercados financieros.	Los diputados franceses de mi Grupo vuelven a afirmar su total oposición al pacto de estabilidad, que enmarca de manera apremiante las políticas presupuestarias, imponiendo criterios de austeridad emparejados con sanciones para satisfacer las exigencias de los mercados financieros.	french [members]	las [diputadas] francesas	los [diputados] franceses	test
SCMP;SUBJ;PROF;PLUR;SCMP;PPA;PLUR;SCMP;AATR;PPA;PLUR	No wonder sellers of goods affected by the directive are worried.	No es de extrañar que las vendedoras de bienes afectadas por la directiva estén preocupadas.	No es de extrañar que los vendedores de bienes afectados por la directiva estén preocupados.	sellers=affected=worried	las [vendedoras]=afectadas=preocupadas	los [vendedores]=afectados=preocupados	test
SUBJ;PROF;PLUR	Glassblowers make different pieces at different times; it is breathtaking how they do it.	Las sopladoras de vidrio hacen diferentes piezas a diferentes horas,  es impresionante cómo lo hacen.	Los sopladores de vidrio hacen diferentes piezas a diferentes horas,  es impresionante cómo lo hacen.	glassblowers	las [sopladoras de vidrio]	los [sopladores de vidrio]	test
DOBJ;OTH;PLUR	Principle No 1: wherever possible, refugees must go to countries which basically have the same culture as their country of origin, in other words neighbouring countries, preferably.	Primer principio: es preciso hacer todo lo posible por acoger a las refugiadas en países con una cultura esencialmente igual a la del país de origen, es decir, preferentemente los países vecinos.	Primer principio: es preciso hacer todo lo posible por acoger a los refugiados en países con una cultura esencialmente igual a la del país de origen, es decir, preferentemente los países vecinos.	refugees	las [refugiadas]	los [refugiados]	test
PPA;SUBJ;PROF;PLUR	These composers were nationalistic in their musical outlook, as The Five before them had been.	Dichas compositoras eran nacionalistas desde el punto de vista musical como Los Cinco.	Dichos compositores eran nacionalistas desde el punto de vista musical como Los Cinco.	these [composers]	dichas [compositoras]	dichos [compositores]	test
SUBJ;PROF	My ambitious and fabulous trainer will performing in the competition.	Mi ambiciosa y fabulosa entrenadora actuará en la competición.	Mi ambicioso y fabuloso entrenador actuará en la competición.	trainer=ambitious=fabulous	entrenadora=ambiciosa=fabulosa	entrenador=ambicioso=fabuloso	test
QUES;IOBJ;PROF	Can you answer aloud for the stenographer, please?	¿Puede responder en voz alta para la taquígrafa, por favor?	¿Puede responder en voz alta para el taquígrafo, por favor?	stenographer	la [taquígrafa]	el [taquígrafo]	test
SCMP;OTH	I'm afraid that brute almost killed him.	Me temo que esa bruta casi lo mata.	Me temo que ese bruto casi lo mata.	that [brute]	esa [bruta]	ese [bruto]	test
SUBJ;PROF;PLUR	Weapons experts who analysed images of the attack said the nature of the destruction indicated possible use of fuel-air explosives (also known as "vacuum bombs"), a type of weapon particularly prone to indiscriminate effects when used in the vicinity of civilians.	Las expertas en armas que analizaron las imágenes del ataque afirmaron que el tipo de destrucción indicaba el posible uso de bombas de aire-combustible (conocidas también como "bombas de vacío") un tipo de armas particularmente propenso a causar efectos indiscriminados cuando se utiliza cerca de civiles.	Los expertos en armas que analizaron las imágenes del ataque afirmaron que el tipo de destrucción indicaba el posible uso de bombas de aire-combustible (conocidas también como "bombas de vacío") un tipo de armas particularmente propenso a causar efectos indiscriminados cuando se utiliza cerca de civiles.	weapons [experts]	las [expertas] en armas	los [expertos] en armas	test
SUBJ;PROF	The young chemist decided to open a pharmacy.	La joven química decidió abrir una farmacia.	El joven químico decidió abrir una farmacia.	young [chemist]	la joven [química]	el joven [químico]	test
SCMP;SUBJ;OTH	Aside from offering excellent medical assistance, we do everything possible to ensure that the traveler recuperates soon.	Además de un excelente servicio médico, hacemos todo lo que esté en nuestras manos para que la viajera se mejore pronto.	Además de un excelente servicio médico, hacemos todo lo que esté en nuestras manos para que el viajero se mejore pronto.	traveler	la [viajera]	el [viajero]	test
SUBJ;PROF	The ingenious painter who gives the title to this masterpiece is always hungry;	La ingeniosa pintora que da título a esta obra maestra siempre tiene hambre.	El ingenioso pintor que da título a esta obra maestra siempre tiene hambre.	ingenious [painter]	la ingeniosa [pintora]	el ingenioso [pintor]	test
SUBJ;POSS;POSC;PROF	Our waiter was very nice to say something positive.	Nuestra camarera fue muy amable al decir algo positivo.	Nuestro camarero fue muy amable al decir algo positivo.	our [waiter]	nuestra [camarera]	nuestro [camarero]	test
QUES;OPRP;FAM;PLUR;OPRP;PLUR	And have the families of the other kids been able to talk to them?	¿Y los familiares de las otras muchachas han podido hablar con ellas?	¿Y los familiares de los otros muchachos han podido hablar con ellos?	other [kids]=them	las otras [muchachas]=ellas	los otros [muchachos]=ellos	test
SUBJ;OTH;PLUR	Inescapable pockets of poverty, urban and rural, where young adults are still struggling for their first job.	Ineludibles bolsones de pobreza, urbana y rural, donde las adultas jóvenes todavía están luchando por su primer trabajo.	Ineludibles bolsones de pobreza, urbana y rural, donde los adultos jóvenes todavía están luchando por su primer trabajo.	young [adults]	las [adultas] jóvenes	los [adultos] jóvenes	test
SUBJ;OTH;PLUR	And he told me, we are pressured by the protesters and the security forces are pressuring us and we don't know what to do.	Y me dijo, nos presionan las manifestantes y las fuerzas de seguridad nos presionan y no sabemos qué hacer.	Y me dijo, nos presionan los manifestantes y las fuerzas de seguridad nos presionan y no sabemos qué hacer.	protesters	las [manifestantes]	los [manifestantes]	test
