labels	source	ff	fm	mf	mm	kw_s	kw_f	kw_m
OTH;SUBJ;DOBJ;FAM	My next door neighbor knows the stranger.	Ma voisine d’à côté connaît l’inconnue.	Ma voisine d’à côté connaît l’inconnu.	Mon voisin d’à côté connaît l’inconnue.	Mon voisin d’à côté connaît l’inconnu.	neighbor=my;stranger	ma [voisine];inconnue	mon [voisin];inconnu
SUBJ;OTH;DOBJ;AATR	No other player can compete with this opponent.	Aucune autre joueuse ne peut concurrencer cette adversaire.	Aucune autre joueuse ne peut concurrencer cet adversaire.	Aucun autre joueur ne peut concurrencer cette adversaire.	Aucun autre joueur ne peut concurrencer cet adversaire.	player=no;this [opponent]	joueuse=aucune;cette [adversaire]	joueur=aucun;cet [adversaire]
APRD;SUBJ;FAM;OPRP;PERS	In the presence of your protege, you are insolent.	En présence de votre protégée, vous êtes insolente.	En présence de votre protégée, vous êtes insolent.	En présence de votre protégé, vous êtes insolente.	En présence de votre protégé, vous êtes insolent.	protege;you=insolent	protégée;vous=insolente	protégé;vous=insolent
SUBJ;PLUR;OTH;PPA;OPRP;PERS	A psychic is supposed to know more about them.	Une voyante est censée savoir plus sur elles.	Une voyante est censée savoir plus sur eux.	Un voyant est censé savoir plus sur elles.	Un voyant est censé savoir plus sur eux.	psychic=supposed;them	une [voyante]=censée;elles	un [voyant]=censé;eux
APRD;SUBJ;FAM;DFCL;PPA;PROF	If the pyrotechnist didn't have an extinguisher, his pal would have been fried alive.	Si la pyrotechnicienne n’avait pas d’extincteur, sa pote aurait été frite vive.	Si la pyrotechnicienne n’avait pas d’extincteur, son pote aurait été frit vif.	Si le pyrotechnicien n’avait pas d’extincteur, sa pote aurait été frite vive.	Si le pyrotechnicien n’avait pas d’extincteur, son pote aurait été frit vif.	pyrotechnist;his [pal]=[fried] alive	la [pyrotechnicienne];sa [pote]=[frite] vive	le [pyrotechnicien];son [pote]=[frit] vif
OTH;SUBJ;PROF;DFCL	Did the receptionist say, "what a good for nothing"?	Est-ce que la réceptionniste a dit, "quelle bonne à rien" ?	Est-ce que la réceptionniste a dit, "quel bon à rien" ?	Est-ce que le réceptionniste a dit, "quelle bonne à rien" ?	Est-ce que le réceptionniste a dit, "quel bon à rien" ?	receptionist;what=good	la [réceptionniste];quelle=bonne	le [réceptionniste];quel=bon
APRD;SUBJ;PLUR;REL;OTH;OPRP	Scientologists are very proud of their ability to solve problems between mortals.	Les scientologues sont très fières de leur capacité à résoudre les problèmes entre mortelles.	Les scientologues sont très fières de leur capacité à résoudre les problèmes entre mortels.	Les scientologues sont très fiers de leur capacité à résoudre les problèmes entre mortelles.	Les scientologues sont très fiers de leur capacité à résoudre les problèmes entre mortels.	Scientologists=proud;mortals	scientologues=fières;mortelles	scientologues=fiers;mortels
APRD;SUBJ;PLUR;REL;OTH;GLNK	Sectarians and psychopaths are not the same.	Les sectaires et les psychopathes ne sont pas pareilles.	Les sectaires et les psychopathes ne sont pas pareils.	Les sectaires et les psychopathes ne sont pas pareilles.	Les sectaires et les psychopathes ne sont pas pareils.	sectarians;psychopaths=same	sectaires;psychopathes=pareilles	sectaires;psychopathes=pareils
APRD;SUBJ;REL;PPA;PROF	A shaman is perceived to be more powerful than a healer.	Une chamane est perçue comme plus puissante qu’une guérisseuse.	Une chamane est perçue comme plus puissante qu’un guérisseur.	Un chaman est perçu comme plus puissant qu’une guérisseuse.	Un chaman est perçu comme plus puissant qu’un guérisseur.	shaman=powerful;healer	une [chamane]=perçue=puissante;une [guérisseuse]	un [chaman]=perçu=puissant;un [guérisseur]
PPA;SUBJ;SCMP;REL;IPRO	A Shintoist is not necessarily someone who was born in Japan.	Une shintoïste n’est pas forcément quelqu’une qui est née au Japon.	Une shintoïste n’est pas forcément quelqu’un qui est né au Japon.	Un shintoïste n’est pas forcément quelqu’une qui est née au Japon.	Un shintoïste n’est pas forcément quelqu’un qui est né au Japon.	Shintoist;someone=born	une [shintoïste];quelqu’une=née	un [shintoïste];quelqu’un=né
PPA;PLUR;OTH;OPRP	City slickers are always compared to country dwellers.	Les citadines sont toujours comparées aux rurales.	Les citadines sont toujours comparées aux ruraux.	Les citadins sont toujours comparés aux rurales.	Les citadins sont toujours comparés aux ruraux.	slickers=compared;dwellers	citadines=comparées;rurales	citadins=comparés;ruraux
APRD;SUBJ;PLUR;PROF;AATR;FAM;OPRP;IPRO	Some competitors are competitive enough to win market shares from their suppliers.	Certaines concurrentes sont assez compétitives pour gagner des parts de marché de leurs fournisseuses.	Certaines concurrentes sont assez compétitives pour gagner des parts de marché de leurs fournisseurs.	Certains concurrents sont assez compétitifs pour gagner des parts de marché de leurs fournisseuses.	Certains concurrents sont assez compétitifs pour gagner des parts de marché de leurs fournisseurs.	some [competitors]=competitive;suppliers	certaines [concurrentes]=compétitives;fournisseuses	certains [concurrents]=compétitifs;fournisseurs
SUBJ;PLUR;SCMP;AATR;OTH;PPA;NAT	Some smugglers were among the Yemenis, and were later arrested.	Certaines contrebandières étaient parmi les Yéménites, et ont ensuite été arrêtées.	Certaines contrebandières étaient parmi les Yéménites, et ont ensuite été arrêtées.	Certains contrebandiers étaient parmi les Yéménites, et ont ensuite été arrêtés.	Certains contrebandiers étaient parmi les Yéménites, et ont ensuite été arrêtés.	some [smugglers]=arrested;Yemenis	certaines [contrebandières]=arrêtées;Yéménites	certains [contrebandiers]=arrêtés;Yéménites
SUBJ;PLUR;FAM;DFCL;PPA;PERS	Your stooge says they fell in the snow yesterday.	Votre comparse dit qu’elles sont tombées dans la neige hier.	Votre comparse dit qu’ils sont tombés dans la neige hier.	Votre comparse dit qu’elles sont tombées dans la neige hier.	Votre comparse dit qu’ils sont tombés dans la neige hier.	stooge;they=fell	comparse;elles=tombées	comparse;ils=tombés
PPA;SUBJ;PLUR;PROF;GLNK	The tasters and critics have arrived for the aperitif.	Les dégustatrices et critiques sont arrivées pour l’apéritif.	Les dégustatrices et critiques sont arrivés pour l’apéritif.	Les dégustateurs et critiques sont arrivées pour l’apéritif.	Les dégustateurs et critiques sont arrivés pour l’apéritif.	tasters;critics=arrived	dégustatrices;critiques=arrivées	dégustateurs;critiques=arrivés
SUBJ;PLUR;PROF;DFCL;PPA;AATR	They were blown away by the course and what those two professors taught.	Elles ont été emballées par le cours et ce que ces deux professeures ont enseigné.	Elles ont été emballées par le cours et ce que ces deux professeurs ont enseigné.	Ils ont été emballés par le cours et ce que ces deux professeures ont enseigné.	Ils ont été emballés par le cours et ce que ces deux professeurs ont enseigné.	they=blown;professors	elles=emballées;professeures	ils=emballés;professeurs
SUBJ;PLUR;DFCL;PPA;NAT;PERS	As they received death threats, the Malawians were forced to go into hiding.	Comme elles ont reçu des menaces de mort, les Malawiennes ont été contraintes de se cacher.	Comme elles ont reçu des menaces de mort, les Malawiens ont été contraints de se cacher.	Comme ils ont reçu des menaces de mort, les Malawiennes ont été contraintes de se cacher.	Comme ils ont reçu des menaces de mort, les Malawiens ont été contraints de se cacher.	they;Malawians=forced	elles;Malawiennes=contraintes	ils;Malawiens=contraints
SUBJ;PLUR;ANAN;OTH;PPA;OPRP	In the sequel, they were cut by crooks with a chainsaw, otherwise the rating of reportage would have been very low.	Dans la suite, elles ont été coupées par des filoutes avec une tronçonneuse, sinon la note du reportage aurait été très faible.	Dans la suite, elles ont été coupées par des filous avec une tronçonneuse, sinon la note du reportage aurait été très faible.	Dans la suite, ils ont été coupés par des filoutes avec une tronçonneuse, sinon la note du reportage aurait été très faible.	Dans la suite, ils ont été coupés par des filous avec une tronçonneuse, sinon la note du reportage aurait été très faible.	they=cut;crooks	elles=coupées;filoutes	ils=coupés;filous
SUBJ;SCMP;FAM;ANAN;OTH;PPA	This visionary emerged as a trailblazer of healthy cuisine, laying the foundations for haute cuisine in this area.	Cette visionnaire s’est imposée comme une défricheuse de la cuisine saine, jetant les bases de la haute cuisine dans ce domaine.	Cette visionnaire s’est imposée comme un défricheur de la cuisine saine, jetant les bases de la haute cuisine dans ce domaine.	Ce visionnaire s’est imposé comme une défricheuse de la cuisine saine, jetant les bases de la haute cuisine dans ce domaine.	Ce visionnaire s’est imposé comme un défricheur de la cuisine saine, jetant les bases de la haute cuisine dans ce domaine.	this [visionary]=emerged;trailblazer	cette [visionnaire]=imposée;une [défricheuse]	ce [visionnaire]=imposé;un [défricheur]
PPA;SUBJ;PLUR;PROF;DFCL;PERS	Waiters assume that you are obsessed with beer.	Les serveuses supposent que vous êtes obsédée par la bière.	Les serveuses supposent que vous êtes obsédé par la bière.	Les serveurs supposent que vous êtes obsédée par la bière.	Les serveurs supposent que vous êtes obsédé par la bière.	waiters;you=obsessed	serveuses;vous=obsédée	serveurs;vous=obsédé
APRD;SUBJ;PLUR;PROF;IOBJ;DFCL;PERS	We are proud of our solutions, which give flexibility to technicians.	Nous sommes fières de nos solutions, qui donnent de la flexibilité aux techniciennes.	Nous sommes fières de nos solutions, qui donnent de la flexibilité aux techniciens.	Nous sommes fiers de nos solutions, qui donnent de la flexibilité aux techniciennes.	Nous sommes fiers de nos solutions, qui donnent de la flexibilité aux techniciens.	we=proud;technicians	nous=fières;techniciennes	nous=fiers;techniciens
APRD;SUBJ;PLUR;REL;DFCL;PPA;PERS	We are delighted that the churchgoers have come today.	Nous sommes ravies que les pratiquantes soient venues aujourd’hui.	Nous sommes ravies que les pratiquants soient venus aujourd’hui.	Nous sommes ravis que les pratiquantes soient venues aujourd’hui.	Nous sommes ravis que les pratiquants soient venus aujourd’hui.	we=delighted;churchgoers	nous=ravies;pratiquantes=venues	nous=ravis;pratiquants=venus
APRD;SUBJ;PLUR;FAM;ANAN;DFCL;PERS	We are certain that our great-grandchildren will breathe clean air and drink clean water.	Nous sommes certaines que nos arrière-petites-enfants respireront de l’air pur et boiront de l’eau propre.	Nous sommes certaines que nos arrière-petits-enfants respireront de l’air pur et boiront de l’eau propre.	Nous sommes certains que nos arrière-petites-enfants respireront de l’air pur et boiront de l’eau propre.	Nous sommes certains que nos arrière-petits-enfants respireront de l’air pur et boiront de l’eau propre.	we=certain;great-grandchildren	nous=certaines;arrière-petites-enfants	nous=certains;arrière-petits-enfants
APRD;SUBJ;PLUR;DOBJ;FAM;PERS	We are determined to guide your spouse during these times of mourning.	Nous sommes déterminées à accompagner votre conjointe durant ces moments de deuil.	Nous sommes déterminées à accompagner votre conjoint durant ces moments de deuil.	Nous sommes déterminés à accompagner votre conjointe durant ces moments de deuil.	Nous sommes déterminés à accompagner votre conjoint durant ces moments de deuil.	we=determined;spouse	nous=déterminées;conjointe	nous=déterminés;conjoint
APRD;SUBJ;PLUR;OTH;DFCL;PERS	We were worried that our guests would not like the rooms.	Nous étions inquiètes que nos invitées n’aimeraient pas les chambres.	Nous étions inquiètes que nos invités n’aimeraient pas les chambres.	Nous étions inquiets que nos invitées n’aimeraient pas les chambres.	Nous étions inquiets que nos invités n’aimeraient pas les chambres.	we=worried;guests	nous=inquiètes;invitées	nous=inquiets;invités
APRD;SUBJ;PLUR;ANAN;OTH;DFCL;PERS	We are confident that international swindlers cannot use existing financial structures in Europe or elsewhere to launder their unlawful gains.	Nous sommes confiantes que les arnaqueuses internationales ne peuvent pas utiliser les structures financières existantes en Europe ou ailleurs pour blanchir leurs gains illégaux.	Nous sommes confiantes que les arnaqueurs internationaux ne peuvent pas utiliser les structures financières existantes en Europe ou ailleurs pour blanchir leurs gains illégaux.	Nous sommes confiants que les arnaqueuses internationales ne peuvent pas utiliser les structures financières existantes en Europe ou ailleurs pour blanchir leurs gains illégaux.	Nous sommes confiants que les arnaqueurs internationaux ne peuvent pas utiliser les structures financières existantes en Europe ou ailleurs pour blanchir leurs gains illégaux.	we=confident;international [swindlers]	nous=confiantes;[arnaqueuses] internationales	nous=confiants;[arnaqueurs] internationaux
APRD;SUBJ;PLUR;IOBJ;OTH;NAT	The Welsh are proud to serve this tea to passersby.	Les Galloises sont fières de servir ce thé aux passantes.	Les Galloises sont fières de servir ce thé aux passants.	Les Gallois sont fiers de servir ce thé aux passantes.	Les Gallois sont fiers de servir ce thé aux passants.	Welsh=proud;passersby	Galloises=fières;passantes	Gallois=fiers;passants
